path,artifact_score,best_artifact,best_ok,artifact:a person with extra fingers,artifact:malformed hands,artifact:deformed hands,artifact:missing fingers,artifact:fused fingers,artifact:broken arms,artifact:missing arms,artifact:distorted limbs,artifact:anatomical errors,artifact:bad anatomy,artifact:mutated hands,artifact:wrong fingers,ok:a person with normal hands,ok:anatomically correct hands,ok:normal arms,ok:correct anatomy,ok:realistic human anatomy
/home/glindkvist/Downloads/pixlvault_export/image_00001.png,-0.004785269498825073,0.1318688690662384,0.13665413856506348,0.1318688690662384,0.09289926290512085,0.0997801125049591,0.10317747294902802,0.10219414532184601,0.10932465642690659,0.11896070837974548,0.08101671934127808,0.09977534413337708,0.10430073738098145,0.07616549730300903,0.09758550673723221,0.13665413856506348,0.10284256935119629,0.1284066140651703,0.120602548122406,0.09563630819320679
/home/glindkvist/Downloads/pixlvault_export/image_00002.png,-0.003157675266265869,0.09973916411399841,0.10289683938026428,0.09973916411399841,0.054623719304800034,0.05621938034892082,0.08179265260696411,0.06812989711761475,0.08496389538049698,0.0923771783709526,0.0696183294057846,0.07588771730661392,0.09082745015621185,0.049868594855070114,0.07337377965450287,0.0974881649017334,0.07199215143918991,0.08967564254999161,0.10289683938026428,0.07668714970350266
/home/glindkvist/Downloads/pixlvault_export/image_00003.png,-0.0004123598337173462,0.13117022812366486,0.1315825879573822,0.12998516857624054,0.09062552452087402,0.08945509791374207,0.11646504700183868,0.07722698152065277,0.11683186143636703,0.12438474595546722,0.09099430590867996,0.10982736945152283,0.13117022812366486,0.0780014619231224,0.11135804653167725,0.1315825879573822,0.09157837182283401,0.12883251905441284,0.1189027950167656,0.11013170331716537
/home/glindkvist/Downloads/pixlvault_export/image_00004.png,0.004030048847198486,0.1295853555202484,0.12555530667304993,0.1295853555202484,0.09797671437263489,0.0988117977976799,0.11126898229122162,0.09333691000938416,0.1136256530880928,0.1184675395488739,0.09995415806770325,0.11806699633598328,0.11583689600229263,0.07265245914459229,0.10521220415830612,0.1198078989982605,0.11366812139749527,0.12378548830747604,0.12555530667304993,0.11794370412826538
/home/glindkvist/Downloads/pixlvault_export/image_00005.png,-0.003378927707672119,0.12736618518829346,0.13074511289596558,0.12567278742790222,0.11016383022069931,0.1129249632358551,0.12670718133449554,0.1056474968791008,0.11262612044811249,0.12736618518829346,0.10229533910751343,0.12074035406112671,0.12508973479270935,0.08207626640796661,0.10967976599931717,0.12084019184112549,0.12776263058185577,0.12538106739521027,0.13047897815704346,0.13074511289596558
/home/glindkvist/Downloads/pixlvault_export/image_00006.png,0.003756418824195862,0.12930776178836823,0.12555134296417236,0.12499931454658508,0.09473209828138351,0.10041175782680511,0.12458294630050659,0.09405941516160965,0.11784414201974869,0.11835815757513046,0.09843311458826065,0.11854741722345352,0.12930776178836823,0.07900658249855042,0.11524373292922974,0.11868077516555786,0.11361556500196457,0.11993926763534546,0.12267706543207169,0.12555134296417236
/home/glindkvist/Downloads/pixlvault_export/image_00007.png,-0.004033938050270081,0.13071510195732117,0.13474904000759125,0.10713037103414536,0.09477709233760834,0.09851650893688202,0.11961984634399414,0.09540624916553497,0.10844062268733978,0.10643978416919708,0.08572794497013092,0.11272897571325302,0.13071510195732117,0.0715792328119278,0.10578902065753937,0.10054131597280502,0.11864297091960907,0.09393786638975143,0.12447839975357056,0.13474904000759125
/home/glindkvist/Downloads/pixlvault_export/image_00008.png,-0.002777308225631714,0.12523990869522095,0.12801721692085266,0.12523990869522095,0.0956709235906601,0.0990845113992691,0.1147204264998436,0.10305115580558777,0.08629436790943146,0.10110533237457275,0.10099027305841446,0.10591715574264526,0.11710145324468613,0.06834065914154053,0.11242833733558655,0.10266347974538803,0.12257752567529678,0.09822390973567963,0.12437580525875092,0.12801721692085266
/home/glindkvist/Downloads/pixlvault_export/image_00011.png,0.0015348941087722778,0.1314319521188736,0.12989705801010132,0.1314319521188736,0.07977389544248581,0.08631016314029694,0.10183453559875488,0.09471970796585083,0.09491834789514542,0.10792490839958191,0.0735330879688263,0.10436798632144928,0.10362568497657776,0.058887068182229996,0.09588027745485306,0.12989705801010132,0.08772958070039749,0.12081634253263474,0.11921416968107224,0.10959523171186447
/home/glindkvist/Downloads/pixlvault_export/image_00013.png,0.006131097674369812,0.1585502326488495,0.15241913497447968,0.1585502326488495,0.10740764439105988,0.11843995749950409,0.14285553991794586,0.1139490082859993,0.1250809133052826,0.125564306974411,0.09581124782562256,0.10729353129863739,0.11281758546829224,0.0962662324309349,0.13209469616413116,0.15241913497447968,0.12977442145347595,0.13456258177757263,0.11222271621227264,0.11111387610435486
